movie,movie_id,guest_names,guest_ids,count
Fame Is the Name of the Game,320918,['John Hoyt'],[14508],1
Winchester 73,320919,"['John Hoyt', 'Paul Fix', 'BarBara Luna']","[14508, 8496, 15950]",3
Panic in the City,137460,['John Hoyt'],[14508],1
The Intruders,255086,['John Hoyt'],[14508],1
"Welcome Home, Johnny Bristol",320922,['John Hoyt'],[14508],1
The Turning Point of Jim Malloy,320923,['John Hoyt'],[14508],1
The Winds of Kitty Hawk,281259,['John Hoyt'],[14508],1
A Great Ride,320925,['John Hoyt'],[14508],1
In Search of Historic Jesus,98132,"['John Hoyt', 'David Opatoshu']","[14508, 15744]",2
Riot in Juvenile Prison,93062,['John Hoyt'],[14508],1
Treachery and Greed on the Planet of the Apes,385903,"['John Hoyt', 'Morgan Woodward', 'Mark Lenard', 'Joseph Ruskin']","[14508, 13869, 1820, 15998]",4
Nero Wolfe,262056,['John Hoyt'],[14508],1
The Cage,433524,"['John Hoyt', 'Susan Oliver', 'Peter Duryea', 'Jeffrey Hunter', 'Laurel Goodwin']","[14508, 90520, 164771, 30551, 78692]",5
The Doomsday Flight,83814,"['Malachi Throne', 'Celia Lovsky']","[1213153, 15942]",2
The Greatest,69903,"['Malachi Throne', 'Lloyd Haynes', 'Skip Homeier']","[1213153, 127601, 16017]",3
Six Hundred and Sixty-Six,352177,"['Malachi Throne', 'Malachi Throne']","[1213153, 1213153]",2
Mystery Woman: In the Shadows,166442,['Malachi Throne'],[1213153],1
Longarm,358411,['Malachi Throne'],[1213153],1
Stunts,71996,['Malachi Throne'],[1213153],1
Catch Me If You Can,640,['Malachi Throne'],[1213153],1
Dark Victory,27972,['Leonard Mudie'],[101742],1
Killer Leopard,28731,['Leonard Mudie'],[101742],1
Arrest Bulldog Drummond,37461,['Leonard Mudie'],[101742],1
The Little Minister,43690,['Leonard Mudie'],[101742],1
Charlie Chan's Murder Cruise,38456,['Leonard Mudie'],[101742],1
Don't Gamble with Strangers,64607,"['Leonard Mudie', 'Anthony Caruso']","[101742, 16004]",2
Captain Blood,16905,['Leonard Mudie'],[101742],1
They Won't Forget,80639,"['Leonard Mudie', 'Elisha Cook Jr.']","[101742, 3339]",2
British Intelligence,51787,['Leonard Mudie'],[101742],1
African Treasure,120021,['Leonard Mudie'],[101742],1
Elephant Stampede,177639,['Leonard Mudie'],[101742],1
The King Without a Crown,252090,['Leonard Mudie'],[101742],1
Bomba and the Jungle Girl,252894,['Leonard Mudie'],[101742],1
The Golden Idol,252904,['Leonard Mudie'],[101742],1
When Were You Born,227965,['Leonard Mudie'],[101742],1
London by Night,242062,['Leonard Mudie'],[101742],1
The Checkered Coat,246786,['Leonard Mudie'],[101742],1
Shining Victory,256371,['Leonard Mudie'],[101742],1
Dark Hazard,109552,['Leonard Mudie'],[101742],1
His Brother's Wife,152988,['Leonard Mudie'],[101742],1
The Mystery of Mr. X,149642,['Leonard Mudie'],[101742],1
The Mummy,15849,['Leonard Mudie'],[101742],1
Cardinal Richelieu,286402,['Leonard Mudie'],[101742],1
Madame X,43861,"['Leonard Mudie', 'Bill Bradley']","[101742, 1315468]",2
The Nurse's Secret,176877,['Leonard Mudie'],[101742],1
Devil's Island,30306,"['Leonard Mudie', 'John Harmon']","[101742, 117771]",2
Nancy Drew... Reporter,23280,['Leonard Mudie'],[101742],1
The Story of Vernon and Irene Castle,18651,['Leonard Mudie'],[101742],1
Man About Town,247441,['Leonard Mudie'],[101742],1
Kidnapped,109537,['Leonard Mudie'],[101742],1
The Earl of Chicago,116007,"['Leonard Mudie', 'Ian Wolfe']","[101742, 2782]",2
Brother Orchid,26635,['Leonard Mudie'],[101742],1
Foreign Correspondent,25670,"['Leonard Mudie', 'Ian Wolfe']","[101742, 2782]",2
The Sea Hawk,26201,"['Leonard Mudie', 'Whit Bissell']","[101742, 13786]",2
The Letter,17801,['Leonard Mudie'],[101742],1
Waterloo Bridge,43824,['Leonard Mudie'],[101742],1
You'll Find Out,80720,"['Leonard Mudie', 'Jeff Corey']","[101742, 9596]",2
A Dispatch from Reuter's,109716,['Leonard Mudie'],[101742],1
The Adventures of Sherlock Holmes,17481,['Leonard Mudie'],[101742],1
He Stayed for Breakfast,117113,['Leonard Mudie'],[101742],1
You're a Sweetheart,218347,['Leonard Mudie'],[101742],1
The Magnetic Monster,44692,['Leonard Mudie'],[101742],1
Shall We Dance,31530,['Leonard Mudie'],[101742],1
Congo Maisie,69207,['Leonard Mudie'],[101742],1
Clues to Adventure,461545,['Leonard Mudie'],[101742],1
My Name Is Julia Ross,42077,['Leonard Mudie'],[101742],1
A Bullet for Pretty Boy,4882,['Adam Roarke'],[39770],1
El Dorado,6644,"['Adam Roarke', 'Paul Fix', 'John Gabriel']","[39770, 8496, 50974]",3
Hells Angels on Wheels,33642,"['Adam Roarke', 'Sabrina Scharf']","[39770, 131285]",2
The Savage Seven,42650,"['Adam Roarke', 'Robert Walker, Jr.']","[39770, 15626]",2
Psych-Out,63100,['Adam Roarke'],[39770],1
Frogs,18274,['Adam Roarke'],[39770],1
Dirty Mary Crazy Larry,19017,['Adam Roarke'],[39770],1
Hell's Belles,54177,"['Adam Roarke', 'Angelique Pettyjohn']","[39770, 98241]",2
Trespasses,347588,['Adam Roarke'],[39770],1
Play It As It Lays,84796,"['Adam Roarke', 'Diana Ewing']","[39770, 179145]",2
Hughes and Harlow: Angels in Hell,98350,"['Adam Roarke', 'Garth Pillsbury']","[39770, 45100]",2
The Losers,121901,['Adam Roarke'],[39770],1
Women of the Prehistoric Planet,42727,['Adam Roarke'],[39770],1
The Stunt Man,42160,['Adam Roarke'],[39770],1
This Is a Hijack,281249,"['Adam Roarke', 'Jay Robinson']","[39770, 16097]",2
Dangerous Touch,219832,['Adam Roarke'],[39770],1
Bad Girls for the Boys,259681,['Bob Johnson'],[1214921],1
Marnie,506,"['Meg Wyllie', 'Mariette Hartley']","[153336, 16131]",2
Lipstick,59809,['Meg Wyllie'],[153336],1
Beauty and the Beast,211603,['Meg Wyllie'],[153336],1
Movin' On,238243,"['Meg Wyllie', 'David Soul']","[153336, 15956]",2
The Flight That Disappeared,171861,['Meg Wyllie'],[153336],1
BUtterfield 8,23724,['Susan Oliver'],[90520],1
The Gene Krupa Story,43108,"['Susan Oliver', 'Celia Lovsky', 'Yvonne Craig']","[90520, 15942, 16102]",3
Your Cheatin' Heart,76283,"['Susan Oliver', 'Rex Holman']","[90520, 16066]",2
Guns of Diablo,96089,"['Susan Oliver', 'John Fiedler']","[90520, 5247]",2
Hardly Working,130724,"['Susan Oliver', 'Roger C. Carmel']","[90520, 122004]",2
The Green-Eyed Blonde,119312,['Susan Oliver'],[90520],1
The Love-Ins,167953,['Susan Oliver'],[90520],1
Ginger in the Morning,205761,['Susan Oliver'],[90520],1
Looking For Love,175994,['Susan Oliver'],[90520],1
Amelia Earhart,266131,"['Susan Oliver', 'Jane Wyatt']","[90520, 2021]",2
The Monitors,210940,"['Susan Oliver', 'Sherry Jackson']","[90520, 119245]",2
The Green Girl,286334,"['Susan Oliver', 'Celeste Yarnall', 'Lee Meriwether']","[90520, 15954, 16108]",3
International Airport,297786,['Susan Oliver'],[90520],1
Do You Take This Stranger?,363221,['Susan Oliver'],[90520],1
Carter's Army,22739,['Susan Oliver'],[90520],1
Nido de viudas,384760,['Susan Oliver'],[90520],1
A Man Called Gannon,219302,['Susan Oliver'],[90520],1
Change of Mind,89574,"['Susan Oliver', 'Janet MacLachlan']","[90520, 15375]",2
Death in Space,482055,"['Susan Oliver', 'Robert Walker, Jr.']","[90520, 15626]",2
Catalina Caper,31265,['Peter Duryea'],[164771],1
Blood of the Iron Maiden,328975,['Peter Duryea'],[164771],1
Taggart,118259,"['Peter Duryea', 'Tony Young']","[164771, 161297]",2
The Bounty Killer,242894,['Peter Duryea'],[164771],1
Chatterbox!,58308,"['Georgia Schmidt', 'Arlene Martel']","[1214891, 152660]",2
The Searchers,3114,['Jeffrey Hunter'],[30551],1
A Guide for the Married Man,4932,"['Jeffrey Hunter', 'Jason Wingreen']","[30551, 151529]",2
Brainstorm,28497,"['Jeffrey Hunter', 'Kathie Browne', 'Phillip Pine']","[30551, 16090, 16126]",3
King of Kings,36362,['Jeffrey Hunter'],[30551],1
Hell to Eternity,43034,['Jeffrey Hunter'],[30551],1
Sergeant Rutledge,43040,['Jeffrey Hunter'],[30551],1
The Great Locomotive Chase,37112,['Jeffrey Hunter'],[30551],1
Sailor of the King,44536,['Jeffrey Hunter'],[30551],1
The Frogmen,44890,"['Jeffrey Hunter', 'Warren Stevens']","[30551, 12310]",2
Belles on their Toes,50549,['Jeffrey Hunter'],[30551],1
Dimension 5,52516,"['Jeffrey Hunter', 'Jon Lormer', 'France Nuyen']","[30551, 15721, 16096]",3
Custer of the West,82379,['Jeffrey Hunter'],[30551],1
A Kiss Before Dying,53712,['Jeffrey Hunter'],[30551],1
Fourteen Hours,54139,"['Jeffrey Hunter', 'Jeff Corey']","[30551, 9596]",2
The True Story of Jesse James,83354,"['Jeffrey Hunter', 'Biff Elliot']","[30551, 41719]",2
Joe... cercati un posto per morire!,90342,['Jeffrey Hunter'],[30551],1
Man-Trap,83781,"['Jeffrey Hunter', 'Perry Lopez', 'Arthur Batanides']","[30551, 12295, 151511]",3
The Last Hurrah,56156,['Jeffrey Hunter'],[30551],1
No Man is an Island,76814,['Jeffrey Hunter'],[30551],1
Dreamboat,94618,['Jeffrey Hunter'],[30551],1
Key Witness,86226,['Jeffrey Hunter'],[30551],1
Gun for a Coward,79103,['Jeffrey Hunter'],[30551],1
Joaquín Murrieta,102671,['Jeffrey Hunter'],[30551],1
Joe Navidad,99737,['Jeffrey Hunter'],[30551],1
The Private Navy of Sgt. O'Farrell,106449,['Jeffrey Hunter'],[30551],1
The Proud Ones,107625,['Jeffrey Hunter'],[30551],1
No Down Payment,110671,['Jeffrey Hunter'],[30551],1
White Feather,127064,['Jeffrey Hunter'],[30551],1
Count Five and Die,113073,['Jeffrey Hunter'],[30551],1
Frau Wirtin hat auch einen Grafen,129959,['Jeffrey Hunter'],[30551],1
The Man from Galveston,148863,"['Jeffrey Hunter', 'Grace Lee Whitney']","[30551, 1759]",2
Seven Angry Men,149114,['Jeffrey Hunter'],[30551],1
Seven Cities Of Gold,149116,['Jeffrey Hunter'],[30551],1
Princess of the Nile,200386,"['Jeffrey Hunter', 'Billy Curtis', 'Michael Ansara']","[30551, 102426, 16074]",3
Una bruja sin escoba,200668,['Jeffrey Hunter'],[30551],1
Take Care of My Little Girl,173797,['Jeffrey Hunter'],[30551],1
Oro per i Cesari,207800,['Jeffrey Hunter'],[30551],1
Three Young Texans,239149,"['Jeffrey Hunter', 'Michael Ansara']","[30551, 16074]",2
Lure of the Wilderness,249846,['Jeffrey Hunter'],[30551],1
¡Viva América!,260923,['Jeffrey Hunter'],[30551],1
In Love and War,142339,"['Jeffrey Hunter', 'France Nuyen']","[30551, 16096]",2
Call Me Mister,346993,['Jeffrey Hunter'],[30551],1
Red Skies of Montana,143523,"['Jeffrey Hunter', 'Warren Stevens']","[30551, 12310]",2
The Longest Day,9289,['Jeffrey Hunter'],[30551],1
Girls! Girls! Girls!,15734,['Laurel Goodwin'],[78692],1
Papa's Delicate Condition,74088,"['Laurel Goodwin', 'Elisha Cook Jr.']","[78692, 3339]",2
Star Trek: The Motion Picture,152,"['Grace Lee Whitney', 'Mark Lenard']","[1759, 1820]",2
Star Trek VI: The Undiscovered Country,174,"['Grace Lee Whitney', 'Mark Lenard']","[1759, 1820]",2
The Texan Meets Calamity Jane,252213,['Grace Lee Whitney'],[1759],1
Some Like It Hot,239,['Grace Lee Whitney'],[1759],1
Star Trek: Of Gods And Men,18231,"['Grace Lee Whitney', 'Lawrence Montaigne', 'Arlene Martel', 'Celeste Yarnall', 'Jack Donner']","[1759, 1213151, 152660, 15954, 16052]",5
Pocketful of Miracles,248,"['Grace Lee Whitney', 'David Brian']","[1759, 16016]",2
The Swinging Barmaids,28757,"['Bruce Watson', 'Dyanne Thorne']","[15621, 52611]",2
T-Men,26174,['Alfred Ryder'],[15620],1
True Grit,17529,"['Alfred Ryder', 'Kim Darby', 'John Fiedler', 'Ron Soble', 'Jeff Corey']","[15620, 15655, 5247, 161405, 9596]",5
The Story on Page One,47925,['Alfred Ryder'],[15620],1
Invitation to a Gunfighter,55150,['Alfred Ryder'],[15620],1
Bogie,85513,['Alfred Ryder'],[15620],1
Tracks,108322,['Alfred Ryder'],[15620],1
The 400 Million,183005,['Alfred Ryder'],[15620],1
Hotel,77553,['Alfred Ryder'],[15620],1
Sergeant Matlovich vs. the U.S. Air Force,262424,['Alfred Ryder'],[15620],1
W,333125,"['Alfred Ryder', 'Ken Lynch', 'Michael Witney']","[15620, 2652, 165373]",3
The Raiders,213668,['Alfred Ryder'],[15620],1
The Stone Killer,26202,"['Alfred Ryder', 'Byron Morrow']","[15620, 151482]",2
You Light Up My Life,42231,['Michael Zaslow'],[121759],1
Seven Minutes in Heaven,38981,['Michael Zaslow'],[121759],1
Meteor,40160,['Michael Zaslow'],[121759],1
The Harlem Globetrotters: The Team That Changed the World,222728,['Bill Bradley'],[1315468],1
The Alligator People,43105,['Bill Bradley'],[1315468],1
The Greatest Story Ever Told,2428,"['Abraham Sofaer', 'Mark Lenard', 'John Crawford', 'John Abbott', 'Celia Lovsky', 'Michael Ansara']","[135066, 1820, 15693, 24826, 15942, 16074]",6
Things to Come,3596,['Abraham Sofaer'],[135066],1
Quo Vadis,11620,['Abraham Sofaer'],[135066],1
A Matter of Life and Death,28162,['Abraham Sofaer'],[135066],1
Captain Sindbad,41725,['Abraham Sofaer'],[135066],1
Taras Bulba,43012,"['Abraham Sofaer', 'Perry Lopez']","[135066, 12295]",2
The Sad Sack,43251,['Abraham Sofaer'],[135066],1
Elephant Walk,43335,['Abraham Sofaer'],[135066],1
The Naked Jungle,61988,['Abraham Sofaer'],[135066],1
Pandora and the Flying Dutchman,38688,['Abraham Sofaer'],[135066],1
Journey to the Center of Time,46139,['Abraham Sofaer'],[135066],1
Head,18193,"['Abraham Sofaer', 'Charles Macaulay', 'Logan Ramsey']","[135066, 15719, 16031]",3
Rembrandt,50031,['Abraham Sofaer'],[135066],1
Bhowani Junction,81699,['Abraham Sofaer'],[135066],1
Crook's Tour,91650,['Abraham Sofaer'],[135066],1
Hitler,102155,"['Abraham Sofaer', 'William Sargent', 'Celia Lovsky', 'Theo Marcuse']","[135066, 161340, 15942, 45252]",4
His Majesty O'Keefe,113785,['Abraham Sofaer'],[135066],1
The First Texan,145878,['Abraham Sofaer'],[135066],1
The Ghosts of Berkeley Square,136973,['Abraham Sofaer'],[135066],1
Cairo Road,259701,['Abraham Sofaer'],[135066],1
Ask Beccles,399774,['Abraham Sofaer'],[135066],1
High Finance,400397,['Abraham Sofaer'],[135066],1
