movie,movie_id,guest_names,guest_ids,count
The Profane Exhibit,214979,['Clint Howard'],[15661],1
Humanoids from the Deep,53060,['Clint Howard'],[15661],1
Big Guy,417743,['Clint Howard'],[15661],1
Dillinger and Capone,56264,['Clint Howard'],[15661],1
UnConventional,96140,"['Clint Howard', 'Sid Haig']","[15661, 5695]",2
The Lords of Salem,104755,"['Clint Howard', 'Sid Haig']","[15661, 5695]",2
Barb Wire,11867,['Clint Howard'],[15661],1
Mad Families,431071,['Clint Howard'],[15661],1
Night at the Museum: Battle of the Smithsonian,18360,['Clint Howard'],[15661],1
The Missing,12146,['Clint Howard'],[15661],1
Austin Powers in Goldmember,818,['Clint Howard'],[15661],1
The Dilemma,44564,['Clint Howard'],[15661],1
Twisted Love,222853,['Clint Howard'],[15661],1
Solo: A Star Wars Story,348350,['Clint Howard'],[15661],1
Curious George,9975,['Clint Howard'],[15661],1
A Plumm Summer,73501,['Clint Howard'],[15661],1
The Jungle Book,476457,['Clint Howard'],[15661],1
The Dentist 2: Brace Yourself,37526,['Clint Howard'],[15661],1
Street Corner Justice,268397,['Clint Howard'],[15661],1
I Am Stamos,489208,['Clint Howard'],[15661],1
Titanic,2699,['Hagan Beggs'],[27126],1
Bear Island,38629,['Hagan Beggs'],[27126],1
The Groundstar Conspiracy,72114,['Hagan Beggs'],[27126],1
Justice for Annie,261044,['Hagan Beggs'],[27126],1
Power of Attorney,263422,['Hagan Beggs'],[27126],1
Russian Roulette,242102,['Hagan Beggs'],[27126],1
Spider-Man: The Dragon's Challenge,225938,['Hagan Beggs'],[27126],1
"Hey, I'm Alive",442105,['Hagan Beggs'],[27126],1
I Love A Mystery,468333,['Hagan Beggs'],[27126],1
The Six Million Dollar Man,39829,['Barbara Anderson'],[161255],1
"You Lie So Deep, My Love",252692,['Barbara Anderson'],[161255],1
SST: Death Flight,264080,['Barbara Anderson'],[161255],1
Visions...,407682,['Barbara Anderson'],[161255],1
Bonanza: The Next Generation,369423,['Barbara Anderson'],[161255],1
Viva Zapata!,1810,['Arnold Moss'],[15676],1
The 27th Day,30299,['Arnold Moss'],[15676],1
Border Incident,33811,"['Arnold Moss', 'Ricardo Montalban']","[15676, 1793]",2
Reign of Terror,27635,['Arnold Moss'],[15676],1
The Fool Killer,28179,['Arnold Moss'],[15676],1
The Loves of Carmen,43455,['Arnold Moss'],[15676],1
Temptation,44099,['Arnold Moss'],[15676],1
Hell's Island,65637,['Arnold Moss'],[15676],1
My Favorite Spy,103165,['Arnold Moss'],[15676],1
Jump Into Hell,213259,['Arnold Moss'],[15676],1
King Lear,225117,['Arnold Moss'],[15676],1
The Caper of the Golden Bulls,279278,['Arnold Moss'],[15676],1
Kim,110465,"['Arnold Moss', 'Richard Hale']","[15676, 16055]",2
Bengal Brigade,210674,"['Arnold Moss', 'Torin Thatcher', 'Michael Ansara']","[15676, 10925, 16074]",3
The November Plan,484944,['Barbara Baldavin'],[1768121],1
A Girl's Best Years,413233,['John Warburton'],[129676],1
Nothing But Trouble,25600,['John Warburton'],[129676],1
Assault on a Queen,42716,['John Warburton'],[129676],1
The Valley of Decision,43610,['John Warburton'],[129676],1
A Study in Scarlet,38585,['John Warburton'],[129676],1
Tarzan and the Huntress,82053,['John Warburton'],[129676],1
Cavalcade,56164,['John Warburton'],[129676],1
Dangerous Partners,110473,['John Warburton'],[129676],1
Secrets of the French Police,161168,['John Warburton'],[129676],1
Blind Adventure,183397,['John Warburton'],[129676],1
Secret File: Hollywood,224408,['John Warburton'],[129676],1
Partners of the Plains,51688,['John Warburton'],[129676],1
Living in a Big Way,119102,['John Warburton'],[129676],1
The Sisters,140995,['John Warburton'],[129676],1
Confidential Agent,160660,"['John Warburton', 'Ian Wolfe']","[129676, 2782]",2
Saratoga Trunk,46563,"['John Warburton', 'John Abbott']","[129676, 24826]",2
Charlie Chan's Greatest Case,413669,['John Warburton'],[129676],1
Captain Fury,151935,['John Warburton'],[129676],1
King Rat,29586,"['John Warburton', 'David Frankham']","[129676, 16063]",2
Cape Fear,11349,['Paul Comi'],[153675],1
All the Loving Couples,80772,['Paul Comi'],[153675],1
Lost Flight,248738,"['Paul Comi', 'Joseph Bernard', 'Gil Perkins']","[153675, 126903, 1214919]",3
The Killings at Outpost Zeta,143777,['Paul Comi'],[153675],1
Conquest of the Planet of the Apes,1688,"['Paul Comi', 'Ricardo Montalban']","[153675, 1793]",2
The Towering Inferno,5919,"['Paul Comi', 'John Crawford', 'Elizabeth Rogers']","[153675, 15693, 132710]",3
Star Trek III: The Search for Spock,157,['Mark Lenard'],[1820],1
Star Trek IV: The Voyage Home,168,"['Mark Lenard', 'Jane Wyatt']","[1820, 2021]",2
Outrage,103432,"['Mark Lenard', 'Jason Wingreen', 'Phillip Pine']","[1820, 151529, 16126]",3
Noon Sunday,97561,"['Mark Lenard', 'Keye Luke']","[1820, 16103]",2
The Radicals,249150,['Mark Lenard'],[1820],1
Annie Hall,703,"['Mark Lenard', 'Johnny Haymer']","[1820, 151695]",2
Hang 'em High,4929,"['Mark Lenard', 'Ned Romero']","[1820, 100418]",2
Farewell to the Planet of the Apes,385733,"['Mark Lenard', 'Jay Robinson']","[1820, 16097]",2
Back to the Planet of the Apes,372284,"['Mark Lenard', 'Biff Elliot']","[1820, 41719]",2
The Great Escape,5925,['Lawrence Montaigne'],[1213151],1
The Power,46015,"['Lawrence Montaigne', 'Celia Lovsky']","[1213151, 15942]",2
The Psycho Lover,50979,['Lawrence Montaigne'],[1213151],1
Damon and Pythias,127543,['Lawrence Montaigne'],[1213151],1
The Ordeal of Dr. Mudd,279712,['Lawrence Montaigne'],[1213151],1
I mongoli,189942,['Lawrence Montaigne'],[1213151],1
Young Lady Chatterley,77756,['Lawrence Montaigne'],[1213151],1
Dakota,384185,['Lawrence Montaigne'],[1213151],1
Deadly Blessing,33016,['Lawrence Montaigne'],[1213151],1
Gunfight in Abilene,141666,['Emily Banks'],[161663],1
Slasher,26766,['Emily Banks'],[161663],1
The Plainsman,238124,"['Emily Banks', 'Percy Rodriguez']","[161663, 88451]",2
It's Alive!,97298,['Shirley Bonne'],[196562],1
Chinatown,829,"['Perry Lopez', 'Roy Jenson']","[12295, 12298]",2
Kelly's Heroes,11589,"['Perry Lopez', 'David Hurst']","[12295, 16106]",2
Death Wish 4: The Crackdown,26263,['Perry Lopez'],[12295],1
I Died a Thousand Times,28490,['Perry Lopez'],[12295],1
McLintock!,15263,['Perry Lopez'],[12295],1
Mister Roberts,37853,"['Perry Lopez', 'Tige Andrews']","[12295, 118508]",2
Cry Tough,62671,"['Perry Lopez', 'Harry Townes', 'BarBara Luna', 'Arthur Batanides']","[12295, 19107, 15950, 151511]",4
The Rare Breed,38800,"['Perry Lopez', 'David Brian']","[12295, 16016]",2
Battle Cry,51426,"['Perry Lopez', 'William Campbell']","[12295, 15699]",2
Hell on Frisco Bay,72778,"['Perry Lopez', 'Stanley Adams', 'Anthony Caruso']","[12295, 1947, 16004]",3
The Steel Jungle,74861,"['Perry Lopez', 'Carey Loftin']","[12295, 12431]",2
Kinjite: Forbidden Subjects,59201,['Perry Lopez'],[12295],1
Violent Road,107678,"['Perry Lopez', 'Arthur Batanides']","[12295, 151511]",2
The Lone Ranger,108266,"['Perry Lopez', 'Beverly Washburn', 'William Schallert', 'Michael Ansara']","[12295, 15983, 15992, 16074]",4
The Young Guns,113695,['Perry Lopez'],[12295],1
Sol Madrid,139328,"['Perry Lopez', 'Ricardo Montalban', 'Michael Ansara']","[12295, 1793, 16074]",3
The Two Jakes,32669,['Perry Lopez'],[12295],1
Creature from the Black Lagoon,10973,"['Perry Lopez', 'Whit Bissell']","[12295, 13786]",2
Confessions of a Hitman,295683,['Perry Lopez'],[12295],1
Drum Beat,150875,"['Perry Lopez', 'Elisha Cook Jr.', 'Anthony Caruso']","[12295, 3339, 16004]",3
The Playground,338015,['Rees Vaughn'],[1611570],1
Gone with the Wind,770,"['Phyllis Douglas', 'Phyllis Douglas']","[1468833, 1468833]",2
Canon City,61908,"['Phyllis Douglas', 'Whit Bissell', 'Jeff Corey']","[1468833, 13786, 9596]",3
The Joker Is Wild,133792,['Phyllis Douglas'],[1468833],1
Until They Sail,108812,"['Phyllis Douglas', 'Tige Andrews', 'Charles Drake']","[1468833, 118508, 15978]",3
Handle with Care,248328,['Phyllis Douglas'],[1468833],1
Andy Hardy Comes Home,155752,['Phyllis Douglas'],[1468833],1
Night of the Quarter Moon,219408,['Phyllis Douglas'],[1468833],1
The Beat Generation,37066,"['Phyllis Douglas', 'William Schallert']","[1468833, 15992]",2
Girls Town,43097,"['Phyllis Douglas', 'Elinor Donahue']","[1468833, 1209]",2
Cimarron,46623,"['Phyllis Douglas', 'David Opatoshu']","[1468833, 15744]",2
"Atlantis, the Lost Continent",28758,['Phyllis Douglas'],[1468833],1
The Enforcer,10649,['John Crawford'],[15693],1
The Apple Dumpling Gang Rides Again,22328,['John Crawford'],[15693],1
Night Moves,32042,['John Crawford'],[15693],1
Tilt,26460,['John Crawford'],[15693],1
The Boogens,33721,"['John Crawford', 'Jon Lormer']","[15693, 15721]",2
Hell Is a City,28784,['John Crawford'],[15693],1
Solomon and Sheba,29996,['John Crawford'],[15693],1
The Impersonator,50744,['John Crawford'],[15693],1
Intent to Kill,85718,"['John Crawford', 'Warren Stevens']","[15693, 12310]",2
Outlaw Blues,112731,['John Crawford'],[15693],1
Serpent of the Nile,114771,"['John Crawford', 'Julie Newmar', 'Michael Ansara']","[15693, 15973, 16074]",3
Lonely Heart Bandits,201590,"['John Crawford', 'William Schallert']","[15693, 15992]",2
The Invisible Monster,251099,"['John Crawford', 'Richard Webb']","[15693, 10161]",2
Raton Pass,234140,['John Crawford'],[15693],1
The Great Adventures of Captain Kidd,253599,['John Crawford'],[15693],1
La cattura,261587,['John Crawford'],[15693],1
Hard Knocks,280388,['John Crawford'],[15693],1
A Star Shall Rise,308764,"['John Crawford', 'Anthony Caruso', 'Richard Hale']","[15693, 16004, 16055]",3
The Poseidon Adventure,551,['John Crawford'],[15693],1
Battle of Rogue River,198586,['John Crawford'],[15693],1
Slaves of Babylon,350806,"['John Crawford', 'Julie Newmar', 'Michael Ansara']","[15693, 15973, 16074]",3
"Spring Night, Summer Night",333202,['John Crawford'],[15693],1
Secret of Outlaw Flats,352241,['John Crawford'],[15693],1
Adventures of Frank and Jesse James,333181,['John Crawford'],[15693],1
I Saw What You Did,28295,['John Crawford'],[15693],1
Zombies of the Stratosphere,118636,['John Crawford'],[15693],1
Guilty or Innocent: The Sam Sheppard Murder Case,412527,"['John Crawford', 'William Windom']","[15693, 8499]",2
Return of the Gunfighter,179087,"['John Crawford', 'Barry Atwater']","[15693, 16125]",2
Radar Patrol vs. Spy King,40598,['John Crawford'],[15693],1
Northwest Territory,343093,['John Crawford'],[15693],1
Old Oklahoma Plains,208393,['John Crawford'],[15693],1
Son of Geronimo,442411,['John Crawford'],[15693],1
Marshal of Cedar Rock,248675,['John Crawford'],[15693],1
Message to My Daughter,252907,"['John Crawford', 'Jerry Ayres', 'Jan Shutan']","[15693, 1497387, 16112]",3
Dreamer,197884,['John Crawford'],[15693],1
Floods of Fear,86920,['John Crawford'],[15693],1
Ghost of Zorro,335005,['John Crawford'],[15693],1
Sons of Adventure,455880,['John Crawford'],[15693],1
Rebel City,459211,['John Crawford'],[15693],1
Lawman Without a Gun,368041,['John Crawford'],[15693],1
The Key,102081,['John Crawford'],[15693],1
The Thing with Two Heads,28650,"['Don Marshall', 'Roger Perry']","[15692, 15707]",2
Terminal Island,91618,"['Don Marshall', 'Sean Kenney']","[15692, 151679]",2
The Reluctant Heroes,247805,['Don Marshall'],[15692],1
"Hugó, a víziló",85955,['Don Marshall'],[15692],1
The Suicide's Wife,216177,['Don Marshall'],[15692],1
Torpedo Run,69977,['Richard Carlyle'],[178296],1
The Iron Mistress,95012,"['Richard Carlyle', 'Anthony Caruso']","[178296, 16004]",2
Target Unknown,241558,['Richard Carlyle'],[178296],1
The Gallant Hours,99345,"['Richard Carlyle', 'William Schallert']","[178296, 15992]",2
Space Cowboys,5551,['Barbara Babcock'],[15746],1
Far and Away,11259,['Barbara Babcock'],[15746],1
Home Alone 4,12536,['Barbara Babcock'],[15746],1
That was Then... This is Now,64945,['Barbara Babcock'],[15746],1
The Lords of Discipline,67530,['Barbara Babcock'],[15746],1
The Black Marble,75808,['Barbara Babcock'],[15746],1
Chosen Survivors,85236,"['Barbara Babcock', 'Diana Muldaur']","[15746, 16014]",2
Quarterback Princess,142216,['Barbara Babcock'],[15746],1
The Last Child,219398,"['Barbara Babcock', 'Jason Wingreen']","[15746, 151529]",2
Perry Mason: The Case of the Poisoned Pen,229088,['Barbara Babcock'],[15746],1
Back Roads,61653,['Barbara Babcock'],[15746],1
Childhood Sweetheart?,278291,['Barbara Babcock'],[15746],1
Heart Of Dixie,73249,['Barbara Babcock'],[15746],1
Happy Together,55059,['Barbara Babcock'],[15746],1
"Christmas Miracle in Caufield, U.S.A.",279926,['Barbara Babcock'],[15746],1
News at Eleven,310425,['Barbara Babcock'],[15746],1
A Family For Joe,434590,['Barbara Babcock'],[15746],1
Heaven with a Gun,1790,"['Barbara Babcock', 'Harry Townes', 'Angelique Pettyjohn']","[15746, 19107, 98241]",3
Cell 2455 Death Row,33862,['William Campbell'],[15699],1
Dementia 13,28503,['William Campbell'],[15699],1
Operation Pacific,40683,['William Campbell'],[15699],1
The Secret Invasion,29032,['William Campbell'],[15699],1
Blood Bath,29070,"['William Campbell', 'Sid Haig', 'Biff Elliot']","[15699, 5695, 41719]",3
Night of Evil,29303,['William Campbell'],[15699],1
The People Against O'Hara,36634,['William Campbell'],[15699],1
The Sheriff of Fractured Jaw,37123,['William Campbell'],[15699],1
The Naked and the Dead,43142,['William Campbell'],[15699],1
Breakthrough,60908,"['William Campbell', 'David Brian']","[15699, 16016]",2
Man Without a Star,43319,['William Campbell'],[15699],1
Backlash,62648,['William Campbell'],[15699],1
Love Me Tender,39833,['William Campbell'],[15699],1
Pretty Maids All in a Row,69321,['William Campbell'],[15699],1
Escape from Fort Bravo,83099,['William Campbell'],[15699],1
Battle Circus,91245,['William Campbell'],[15699],1
Inside the Walls of Folsom Prison,85286,"['William Campbell', 'David Brian']","[15699, 16016]",2
Black Gunn,100088,['William Campbell'],[15699],1
Big Leaguer,102597,['William Campbell'],[15699],1
Running Wild,124236,['William Campbell'],[15699],1
"Money, Women and Guns",124400,['William Campbell'],[15699],1
Holiday for Sinners,193888,['William Campbell'],[15699],1
Portrait in Terror,252422,['William Campbell'],[15699],1
The Young Racers,38206,['William Campbell'],[15699],1
Operacija Ticijan,222306,['William Campbell'],[15699],1
Natchez Trace,357100,['William Campbell'],[15699],1
Small Town Girl,111625,['William Campbell'],[15699],1
Eighteen and Anxious,208462,"['William Campbell', 'Yvonne Craig']","[15699, 16102]",2
The Legend of Custer,469170,['Grant Woods'],[1768125],1
The World's Greatest Sinner,41039,['James Farley'],[139933],1
The Corpse Grinders,27832,['Sean Kenney'],[151679],1
The Toy Box,81479,['Sean Kenney'],[151679],1
The Cult,129761,['Sean Kenney'],[151679],1
Savage Abduction,87719,['Sean Kenney'],[151679],1
Slumber Party '57,255843,['Sean Kenney'],[151679],1
The Way West,42703,"['Hal Lynch', 'Michael Witney']","[153501, 165373]",2
Star Trek II: The Wrath of Khan,154,"['John Winston', 'Ricardo Montalban']","[1214565, 1793]",2
California Split,32044,['John Winston'],[1214565],1
The Last Unicorn,10150,['Ed Peck'],[84325],1
Heaven Can Wait,12185,['Ed Peck'],[84325],1
The Prisoner of Second Avenue,19221,['Ed Peck'],[84325],1
Ride to Hangman's Tree,73902,['Ed Peck'],[84325],1
Zoot Suit,76397,['Ed Peck'],[84325],1
"Roll, Freddy, Roll!",385919,['Ed Peck'],[84325],1
Thief,252888,['Ed Peck'],[84325],1
"I Love You, Alice B. Toklas!",42623,['Ed Peck'],[84325],1
Bullitt,916,"['Ed Peck', 'Vic Tayback']","[84325, 14069]",2
"Count Yorga, Vampire",28733,['Roger Perry'],[15707],1
The Return of Count Yorga,28855,"['Roger Perry', 'Michael Pataki', 'Mariette Hartley']","[15707, 15993, 16131]",3
Follow the Boys,73862,['Roger Perry'],[15707],1
Roller Boogie,75759,['Roger Perry'],[15707],1
The Flying Fontaines,228030,['Roger Perry'],[15707],1
Wreckage,73085,['Roger Perry'],[15707],1
The Feminist and the Fuzz,247791,"['Roger Perry', 'Julie Newmar', 'Arthur Batanides']","[15707, 15973, 151511]",3
You've Got To Be Smart,338060,['Roger Perry'],[15707],1
Conspiracy of Terror,140425,"['Roger Perry', 'David Opatoshu']","[15707, 15744]",2
The Cat,343791,['Roger Perry'],[15707],1
Revenge!,133172,['Roger Perry'],[15707],1
The Elf and the Magic Key,475777,['Roger Perry'],[15707],1
Homicidal,29394,"['Joan Marshall', 'Glenn Corbett', 'Gilbert Green']","[15714, 15968, 103034]",3
Three-Cornered Moon,83767,['Joan Marshall'],[15714],1
The Heart Is a Lonely Hunter,22176,['Percy Rodriguez'],[88451],1
"Come Back, Charleston Blue",129478,['Percy Rodriguez'],[88451],1
The Legend of Hillbilly John,192125,['Percy Rodriguez'],[88451],1
Angel Dusted,170698,['Percy Rodriguez'],[88451],1
Out of the Past,678,['Richard Webb'],[10161],1
American Empire,22354,['Richard Webb'],[10161],1
Night Has a Thousand Eyes,26387,['Richard Webb'],[10161],1
A Connecticut Yankee in King Arthur's Court,36848,['Richard Webb'],[10161],1
Distant Drums,61391,['Richard Webb'],[10161],1
Sullivan's Travels,16305,['Richard Webb'],[10161],1
Sands of Iwo Jima,18712,"['Richard Webb', 'Hal Baylor']","[10161, 15781]",2
I Was a Communist for the FBI,49508,['Richard Webb'],[10161],1
The Big Clock,19974,['Richard Webb'],[10161],1
Mara Maru,92864,['Richard Webb'],[10161],1
My Own True Love,85823,['Richard Webb'],[10161],1
This Woman Is Dangerous,78265,"['Richard Webb', 'David Brian']","[10161, 16016]",2
The Remarkable Andrew,97590,['Richard Webb'],[10161],1
Hell Raiders,111446,['Richard Webb'],[10161],1
Variety Girl,113832,['Richard Webb'],[10161],1
The Black Dakotas,153999,['Richard Webb'],[10161],1
Starlift,171130,['Richard Webb'],[10161],1
The Nebraskan,178589,['Richard Webb'],[10161],1
Isn't It Romantic?,244538,['Richard Webb'],[10161],1
Time Travelers,137662,['Richard Webb'],[10161],1
Artists and Models,43317,['Richard Webb'],[10161],1
The Phantom Stagecoach,292294,['Richard Webb'],[10161],1
Hold Back the Dawn,51395,['Richard Webb'],[10161],1
This Gun for Hire,16703,['Richard Webb'],[10161],1
Carson City,72472,['Richard Webb'],[10161],1
Three Hours to Kill,233795,"['Richard Webb', 'Whit Bissell']","[10161, 13786]",2
The Gay Deceivers,205054,['Richard Webb'],[10161],1
Fair Play,282647,['Richard Webb'],[10161],1
Jubilee Trail,200444,['Richard Webb'],[10161],1
The Killing,247,['Elisha Cook Jr.'],[3339],1
Rosemary's Baby,805,['Elisha Cook Jr.'],[3339],1
The Big Sleep,910,['Elisha Cook Jr.'],[3339],1
The Maltese Falcon,963,"['Elisha Cook Jr.', 'Charles Drake']","[3339, 15978]",2
Shane,3110,"['Elisha Cook Jr.', 'Beverly Washburn']","[3339, 15983]",2
Love Crazy,20644,"['Elisha Cook Jr.', 'Ian Wolfe']","[3339, 2782]",2
The Haunted Palace,30137,['Elisha Cook Jr.'],[3339],1
I Wake Up Screaming,21600,['Elisha Cook Jr.'],[3339],1
Blacula,30566,"['Elisha Cook Jr.', 'Charles Macaulay', 'William Marshall']","[3339, 15719, 16028]",3
Salem's Lot,11343,"['Elisha Cook Jr.', 'David Soul', 'Julie Cobb']","[3339, 15956, 121041]",3
1941,11519,['Elisha Cook Jr.'],[3339],1
Carny,32027,['Elisha Cook Jr.'],[3339],1
The Gangster,25735,"['Elisha Cook Jr.', 'Jeff Corey']","[3339, 9596]",2
Electra Glide in Blue,26332,['Elisha Cook Jr.'],[3339],1
The Outfit,26762,"['Elisha Cook Jr.', 'Roy Jenson']","[3339, 12298]",2
Born to Kill,33813,['Elisha Cook Jr.'],[3339],1
The Great Northfield Minnesota Raid,27349,['Elisha Cook Jr.'],[3339],1
Dillinger,28115,['Elisha Cook Jr.'],[3339],1
Hammett,28307,['Elisha Cook Jr.'],[3339],1
Dark Waters,36332,['Elisha Cook Jr.'],[3339],1
Stranger on the Third Floor,29481,"['Elisha Cook Jr.', 'John Harmon']","[3339, 117771]",2
Plunder Road,36521,['Elisha Cook Jr.'],[3339],1
The Lonely Man,43250,['Elisha Cook Jr.'],[3339],1
Accused of Murder,37350,"['Elisha Cook Jr.', 'David Brian', 'Warren Stevens']","[3339, 16016, 12310]",3
Day of the Outlaw,37481,['Elisha Cook Jr.'],[3339],1
The Night Stalker,15360,"['Elisha Cook Jr.', 'Stanley Adams', 'Barry Atwater']","[3339, 1947, 16125]",3
A-Haunting We Will Go,61524,['Elisha Cook Jr.'],[3339],1
Blonde Alibi,61566,['Elisha Cook Jr.'],[3339],1
St. Ives,37626,['Elisha Cook Jr.'],[3339],1
House on Haunted Hill,15856,['Elisha Cook Jr.'],[3339],1
Phantom Lady,37992,['Elisha Cook Jr.'],[3339],1
Fall Guy,44572,"['Elisha Cook Jr.', 'John Harmon']","[3339, 117771]",2
The Long Night,44626,"['Elisha Cook Jr.', 'Davis Roberts']","[3339, 49939]",2
Voodoo Island,38260,"['Elisha Cook Jr.', 'Rhodes Reason']","[3339, 16033]",2
Chicago Confidential,46047,['Elisha Cook Jr.'],[3339],1
Flaxy Martin,65211,['Elisha Cook Jr.'],[3339],1
The Falcon's Alibi,47314,['Elisha Cook Jr.'],[3339],1
One-Eyed Jacks,18647,['Elisha Cook Jr.'],[3339],1
The Great Gatsby,80890,['Elisha Cook Jr.'],[3339],1
Johnny Cool,72901,['Elisha Cook Jr.'],[3339],1
Pigskin Parade,83633,['Elisha Cook Jr.'],[3339],1
College Confidential,83809,['Elisha Cook Jr.'],[3339],1
The Black Bird,91554,"['Elisha Cook Jr.', 'John Abbott', 'Vic Tayback']","[3339, 24826, 14069]",3
Dead of Night,84898,['Elisha Cook Jr.'],[3339],1
The Indian Fighter,57258,['Elisha Cook Jr.'],[3339],1
Two Smart People,87939,['Elisha Cook Jr.'],[3339],1
Dark Mountain,103187,['Elisha Cook Jr.'],[3339],1
Mad Bull,99551,['Elisha Cook Jr.'],[3339],1
Wildcat,268042,['Elisha Cook Jr.'],[3339],1
Winterhawk,143516,"['Elisha Cook Jr.', 'Michael Dante']","[3339, 15975]",2
Danger - Love at Work,132944,['Elisha Cook Jr.'],[3339],1
Platinum High School,161783,['Elisha Cook Jr.'],[3339],1
Behave Yourself!,197788,['Elisha Cook Jr.'],[3339],1
He Married His Wife,211932,['Elisha Cook Jr.'],[3339],1
Why Girls Leave Home,217163,['Elisha Cook Jr.'],[3339],1
Leave 'em Laughing,254647,"['Elisha Cook Jr.', 'William Windom']","[3339, 8499]",2
Treasure: In Search of the Golden Horse,255670,['Elisha Cook Jr.'],[3339],1
Submarine Patrol,257081,['Elisha Cook Jr.'],[3339],1
Newsboys' Home,257772,['Elisha Cook Jr.'],[3339],1
Night Slaves,217085,['Elisha Cook Jr.'],[3339],1
My Lucky Star,43848,['Elisha Cook Jr.'],[3339],1
Timberjack,281469,"['Elisha Cook Jr.', 'David Brian']","[3339, 16016]",2
The Devil Is Driving,293442,"['Elisha Cook Jr.', 'Ian Wolfe']","[3339, 2782]",2
"I, the Jury",37184,"['Elisha Cook Jr.', 'Biff Elliot']","[3339, 41719]",2
Ball of Fire,29884,['Elisha Cook Jr.'],[3339],1
"Wife, Doctor and Nurse",297403,['Elisha Cook Jr.'],[3339],1
Public Deb No. 1,298327,['Elisha Cook Jr.'],[3339],1
The Movie Murderer,327961,"['Elisha Cook Jr.', 'Steve Sandor', 'Jeff Corey']","[3339, 15999, 9596]",3
Thunder Over the Plains,72471,['Elisha Cook Jr.'],[3339],1
Up in Arms,113757,['Elisha Cook Jr.'],[3339],1
Cinderella Jones,271114,['Elisha Cook Jr.'],[3339],1
The Phantom Of Hollywood,105022,['Elisha Cook Jr.'],[3339],1
Outlaw's Daughter,358623,['Elisha Cook Jr.'],[3339],1
The Champ,30547,['Elisha Cook Jr.'],[3339],1
The Scarecrow,359353,['Elisha Cook Jr.'],[3339],1
Night Chase,373514,['Elisha Cook Jr.'],[3339],1
Life Begins in College,246086,['Elisha Cook Jr.'],[3339],1
A Gentleman At Heart,110191,['Elisha Cook Jr.'],[3339],1
Tin Pan Alley,108222,['Elisha Cook Jr.'],[3339],1
Man at Large,95541,"['Elisha Cook Jr.', 'Richard Derr']","[3339, 15772]",2
Chills and Fever,389120,['Elisha Cook Jr.'],[3339],1
Manila Calling,99237,['Elisha Cook Jr.'],[3339],1
Love Is News,82239,['Elisha Cook Jr.'],[3339],1
Blood on the Arrow,399274,['Elisha Cook Jr.'],[3339],1
Sergeant York,16442,"['Elisha Cook Jr.', 'Charles Drake']","[3339, 15978]",2
"The Man Who Broke 1,000 Chains",425479,['Elisha Cook Jr.'],[3339],1
Tom Horn,5917,"['Elisha Cook Jr.', 'Bobby Bass', 'Roy Jenson']","[3339, 16659, 12298]",3
Three Blind Mice,258088,['Elisha Cook Jr.'],[3339],1
36 Hours,37684,"['Karl Held', 'Celia Lovsky']","[166047, 15942]",2
That Darn Cat!,20723,"['Karl Held', 'Liam Sullivan', 'Frank Gorshin']","[166047, 16086, 291]",3
The House of Seven Corpses,42452,['Charles Macaulay'],[15719],1
The Hindenburg,17599,"['Charles Macaulay', 'Rex Holman']","[15719, 16066]",2
The Twilight People,85674,['Charles Macaulay'],[15719],1
The Big Red One,16121,['Charles Macaulay'],[15719],1
The Return of the World's Greatest Detective,381917,"['Charles Macaulay', 'Sid Haig']","[15719, 5695]",2
Tower of London,43014,"['Charles Macaulay', 'Robert Brown', 'Richard Hale']","[15719, 1214908, 16055]",3
Whore,20712,['Charles Macaulay'],[15719],1
The Munsters' Revenge,30002,"['Charles Macaulay', 'Joseph Ruskin']","[15719, 15998]",2
The Star Wars Holiday Special,74849,"['Lev Mailer', 'Mickey Morton']","[1472601, 16000]",2
Firefox,10724,"['Lev Mailer', 'Richard Derr']","[1472601, 15772]",2
The Brothers Karamazov,43138,"['Harry Townes', 'David Opatoshu']","[19107, 15744]",2
Screaming Mimi,37679,['Harry Townes'],[19107],1
The Warrior and the Sorceress,46500,['Harry Townes'],[19107],1
The Blue Max,19728,['Harry Townes'],[19107],1
The Hawaiians,85290,"['Harry Townes', 'Miko Mayama', 'Keye Luke']","[19107, 15724, 16103]",3
Santee,94561,['Harry Townes'],[19107],1
Destination Space,111572,['Harry Townes'],[19107],1
Sanctuary,210808,['Harry Townes'],[19107],1
Fitzwilly,33730,"['Harry Townes', 'John Fiedler']","[19107, 5247]",2
Operation Manhunt,343860,['Harry Townes'],[19107],1
The Mountain,57993,['Harry Townes'],[19107],1
The Rank and File,462053,['Harry Townes'],[19107],1
High Noon,288,['Morgan Farley'],[4076],1
Behind Locked Doors,30015,['Morgan Farley'],[4076],1
Hollow Triumph,25672,['Morgan Farley'],[4076],1
Macbeth,27883,['Morgan Farley'],[4076],1
The Last Tycoon,37774,"['Morgan Farley', 'Tige Andrews', 'Jeff Corey']","[4076, 118508, 9596]",3
The Man Who Cheated Himself,38751,"['Morgan Farley', 'Jane Wyatt']","[4076, 2021]",2
The Strange Door,39409,['Morgan Farley'],[4076],1
Open Secret,51130,['Morgan Farley'],[4076],1
Slightly Scarlet,467890,['Morgan Farley'],[4076],1
Double Crossbones,91648,['Morgan Farley'],[4076],1
Jivaro,112886,['Morgan Farley'],[4076],1
"Goodbye, My Fancy",115111,['Morgan Farley'],[4076],1
Half Marriage,235591,['Morgan Farley'],[4076],1
