name,id_num,movies,movie_ids
Georgia Schmidt,1214891,['Chatterbox!'],[58308]
Jeffrey Hunter,30551,"['The Searchers', 'A Guide for the Married Man', 'Brainstorm', 'King of Kings', 'Hell to Eternity', 'Sergeant Rutledge', 'The Great Locomotive Chase', 'Sailor of the King', 'The Frogmen', 'Belles on their Toes', 'Dimension 5', 'Custer of the West', 'A Kiss Before Dying', 'Fourteen Hours', 'The True Story of Jesse James', 'Joe... cercati un posto per morire!', 'Man-Trap', 'The Last Hurrah', 'No Man is an Island', 'Dreamboat', 'Key Witness', 'Gun for a Coward', 'Joaquín Murrieta', 'Joe Navidad', ""The Private Navy of Sgt. O'Farrell"", 'The Proud Ones', 'No Down Payment', 'White Feather', 'Count Five and Die', 'Frau Wirtin hat auch einen Grafen', 'The Man from Galveston', 'Seven Angry Men', 'Seven Cities Of Gold', 'Princess of the Nile', 'Una bruja sin escoba', 'Take Care of My Little Girl', 'Oro per i Cesari', 'Three Young Texans', 'Lure of the Wilderness', '¡Viva América!', 'In Love and War', 'Call Me Mister', 'Red Skies of Montana', 'The Longest Day', 'The Cage']","[3114, 4932, 28497, 36362, 43034, 43040, 37112, 44536, 44890, 50549, 52516, 82379, 53712, 54139, 83354, 90342, 83781, 56156, 76814, 94618, 86226, 79103, 102671, 99737, 106449, 107625, 110671, 127064, 113073, 129959, 148863, 149114, 149116, 200386, 200668, 173797, 207800, 239149, 249846, 260923, 142339, 346993, 143523, 9289, 433524]"
Janos Prohaska,1214907,[],[]
Laurel Goodwin,78692,"['Girls! Girls! Girls!', ""Papa's Delicate Condition"", 'The Cage']","[15734, 74088, 433524]"
Francine Pyne,1775091,[],[]
Vince Howard,1214881,[],[]
Grace Lee Whitney,1759,"['Star Trek: The Motion Picture', 'Star Trek VI: The Undiscovered Country', 'The Man from Galveston', 'The Texan Meets Calamity Jane', 'Some Like It Hot', 'Star Trek: Of Gods And Men', 'Pocketful of Miracles']","[152, 174, 148863, 252213, 239, 18231, 248]"
Bruce Watson,15621,['The Swinging Barmaids'],[28757]
Jeanne Bal,1214880,[],[]
Eddie Paskey,1214877,[],[]
Alfred Ryder,15620,"['T-Men', 'True Grit', 'The Story on Page One', 'Invitation to a Gunfighter', 'Bogie', 'Tracks', 'The 400 Million', 'Hotel', 'Sergeant Matlovich vs. the U.S. Air Force', 'W', 'The Raiders', 'The Stone Killer']","[26174, 17529, 47925, 55150, 85513, 108322, 183005, 77553, 262424, 333125, 213668, 26202]"
Michael Zaslow,121759,"['You Light Up My Life', 'Seven Minutes in Heaven', 'Meteor']","[42231, 38981, 40160]"
Bill Bradley,1315468,"['The Harlem Globetrotters: The Team That Changed the World', 'Madame X', 'The Alligator People']","[222728, 43861, 43105]"
Ron Veto,1555684,[],[]
Abraham Sofaer,135066,"['The Greatest Story Ever Told', 'Things to Come', 'Quo Vadis', 'A Matter of Life and Death', 'Captain Sindbad', 'Taras Bulba', 'The Sad Sack', 'Elephant Walk', 'The Naked Jungle', 'Pandora and the Flying Dutchman', 'Journey to the Center of Time', 'Head', 'Rembrandt', 'Bhowani Junction', ""Crook's Tour"", 'Hitler', ""His Majesty O'Keefe"", 'The First Texan', 'The Ghosts of Berkeley Square', 'Cairo Road', 'Ask Beccles', 'High Finance', 'Omar Khayyam', 'Dual Alibi', 'Freedom Radio', ""Dim'at Ha'Nehamah Ha'Gedolah"", 'Karma', 'Calling Paul Temple', 'Twice-Told Tales', 'The House of the Spaniard', ""The Admiral's Secret"", 'Nell Gwyn', '4 for Texas', 'Che!', 'Dreyfus', 'The House Opposite', 'Stamboul', 'The Flag Lieutenant', 'The Flying Squad']","[2428, 3596, 11620, 28162, 41725, 43012, 43251, 43335, 61988, 38688, 46139, 18193, 50031, 81699, 91650, 102155, 113785, 145878, 136973, 259701, 399774, 400397, 210944, 86894, 235061, 329464, 362249, 342576, 47553, 223657, 380933, 328295, 17691, 61411, 473057, 474176, 476230, 478296, 478459]"
Gene Roddenberry,1745,"['Trek Nation', ""Roddenberry's Trek"", 'The Fantasy Film Worlds of George Pal', '50 Years of Star Trek', 'Star Trek 25th Anniversary Special']","[81899, 353848, 147234, 411500, 269768]"
Charles J. Stewart,1214885,[],[]
"Robert Walker, Jr.",15626,"['The War Wagon', 'The Spectre of Edgar Allan Poe', 'Beware! The Blob', 'The Savage Seven', 'Ensign Pulver', 'Young Billy Young', 'Don Juan ou si Don Juan était une femme...', 'The Happening', 'La Route de Salina', 'The Devonsville Terror', 'Killers Three', 'The Face of Eve', 'The Passover Plot', 'Hambone and Hillie', 'Angkor: Cambodia Express', 'Evil Town', 'The Ceremony', 'The Hook', 'Gone With the West', 'Fatal Charm', 'Olivia', 'Dr. Shagetz', 'Hex', 'Easy Rider', 'Agilok & Blubbo', 'Death in Space']","[27277, 28647, 40983, 42650, 42785, 39295, 82969, 76018, 79717, 98012, 121382, 125784, 152256, 146455, 190921, 200639, 170315, 217890, 68089, 182497, 224626, 446297, 161324, 624, 459173, 482055]"
Sally Kellerman,9805,"['M*A*S*H', 'The Player', 'Prêt-à-Porter', 'Delgo', ""You Can't Hurry Love"", 'A Little Romance', 'Secret Weapons', 'Moving Violations', 'Foxes', 'Brewster McCloud', 'The Boston Strangler', 'Meatballs III: Summer Job', 'Serial', 'Last of the Red Hot Lovers', 'American Virgin', 'The Mouse and His Child', 'Back to School', 'Doppelganger', 'Women of the Night', 'Kill Shot', ""That's Life!"", 'The April Fools', 'Welcome to L.A.', 'The Noble Horse', 'Slither', 'Lost Horizon', 'A Reflection of Fear', 'Rafferty and the Gold Dust Twins', 'The Third Day', 'The Wishing Well', 'Hands of a Stranger', 'Three for the Road', 'Reform School Girl', 'Open House', 'Verdict in Blood', 'Someone to Love', 'Head On', 'Drop Dead Gorgeous', 'Paramedics', 'Loving Couples', ""All's Fair"", 'Dempsey', 'Centennial', 'Younger and Younger', 'The Secret of the Ice Cave', 'Happily Ever After', 'Altman', 'Not for Ourselves Alone: The Story of Elizabeth Cady Stanton & Susan B. Anthony', 'KGB: The Secret War', 'Sesame Street Presents Follow That Bird', 'Sesame Street Presents Follow That Bird', 'Sex, Censorship and the Silver Screen', 'The Big Bus', ""It's My Party"", 'Payback: Straight Up', 'Mirror, Mirror II: Raven Dance', 'Sleeping Beauty', 'Night Club', 'September Gun', 'It Rained All Night the Day I Left', ""Off the Menu: The Last Days of Chasen's"", 'Verna: USO Girl', 'Boris and Natasha', 'Bar Hopping']","[651, 10403, 3586, 20542, 20780, 20813, 5684, 31462, 32020, 26525, 26690, 40772, 41034, 42483, 60005, 37049, 15596, 18773, 80847, 52610, 52961, 90563, 86241, 59901, 87417, 97519, 104644, 111149, 111919, 112806, 114740, 116064, 37428, 159695, 230132, 214446, 215863, 224507, 225339, 242758, 244410, 278270, 67493, 260448, 215339, 44283, 278086, 222199, 342609, 36536, 36536, 241506, 19133, 33245, 421550, 92706, 426959, 304029, 445041, 330045, 85984, 310869, 101897, 277628]"
Robert H. Justman,1214884,[],[]
Andrea Dromm,1214883,[],[]
Lloyd Haynes,127601,"['Good Guys Wear Black', 'Assault on the Wayne', ""Look What's Happened to Rosemary's Baby"", 'The Greatest', 'The Mad Room', 'Born to Be Sold', ""Harold Robbins' 79 Park Avenue""]","[42205, 142912, 117258, 69903, 139132, 348511, 360050]"
