Movie,count,guest_ids,guest_names,movie_id
Days of Wine and Roses,8,"[2652, 1239954, 98458, 5250, 114961, 84324, 161934, 3461]","['Ken Lynch', ""Pat O'Malley"", 'Russ Bender', 'Jack Klugman', 'Olan Soule', 'Maxine Stuart', 'Tom Palmer', 'Jack Albertson']",32488
The Sons of Katie Elder,8,"[12313, 14732, 31353, 9866, 8260, 2778, 2101, 8496]","['Earl Holliman', 'James Gregory', 'Sheldon Allman', 'James Westerfield', 'Strother Martin', 'Dennis Hopper', 'Percy Helton', 'Paul Fix']",16211
Trouble Along the Way,8,"[18870, 114961, 12356, 3262, 119245, 6805, 153443, 30115]","['Ned Glass', 'Olan Soule', 'Douglas Spencer', 'James Flavin', 'Sherry Jackson', 'Dabbs Greer', 'Phil Chambers', 'Frank Ferguson']",40686
The Comancheros,8,"[3160, 153365, 15721, 97835, 4965, 18391, 102787, 30512]","['Nehemiah Persoff', 'Anne Barton', 'Jon Lormer', 'Phil Arnold', 'Jack Elam', 'Lee Marvin', 'Richard Devon', 'Edgar Buchanan']",30462
13 West Street,8,"[96498, 71146, 40396, 114961, 33479, 168061, 174624, 1947]","['Jeanne Cooper', 'Ted Knight', 'Michael Vandever', 'Olan Soule', 'Henry Beckman', 'Clegg Hoyt', 'Bernie Hamilton', 'Stanley Adams']",134834
The Hallelujah Trail,8,"[2641, 94550, 19111, 3014, 123720, 6463, 90230, 1263061]","['Martin Landau', 'Jim Hutton', 'John Anderson', 'Val Avery', 'Bing Russell', 'Dub Taylor', 'Helen Kleeb', 'William Benedict']",23194
Forever and a Day,8,"[46617, 30228, 7125, 29283, 32923, 8635, 3366, 99461]","['Ida Lupino', 'Cecil Kellaway', 'Robert Cummings', 'Richard Haydn', 'Brian Aherne', 'Buster Keaton', 'Gladys Cooper', 'Cedric Hardwicke']",43509
One Man's Way,7,"[101481, 15721, 16086, 8499, 5047, 2782, 59965]","['Virginia Christine', 'Jon Lormer', 'Liam Sullivan', 'William Windom', 'Veronica Cartwright', 'Ian Wolfe', 'Diana Hyland']",278310
A Tiger Walks,7,"[29719, 7303, 15721, 3461, 50971, 123380, 87519]","['Edward Andrews', 'Vera Miles', 'Jon Lormer', 'Jack Albertson', 'Arthur Hunnicutt', 'Frank Aletter', 'Connie Gilchrist']",64872
Inherit the Wind,7,"[165082, 19877, 1032088, 4307, 153713, 89938, 93624]","['Wendell Holmes', 'Dick York', 'Joseph Hamilton', 'Claude Akins', 'Paul Hartman', 'Earle Hodgins', 'Ray Teal']",1908
Marnie,7,"[131272, 33479, 153336, 101901, 6933, 14833, 16131]","['S. John Launer', 'Henry Beckman', 'Meg Wyllie', 'Milton Selzer', 'Alan Napier', 'Harold Gould', 'Mariette Hartley']",506
Cattle King,7,"[115460, 101481, 14786, 3640, 8499, 102787, 93624]","['Malcolm Atterbury', 'Virginia Christine', 'John Mitchum', 'Larry Gates', 'William Windom', 'Richard Devon', 'Ray Teal']",112220
The Adventures of Huckleberry Finn,7,"[8516, 8635, 119245, 14966, 2643, 34759, 9112]","['John Carradine', 'Buster Keaton', 'Sherry Jackson', 'Andy Devine', 'Josephine Hutchinson', 'Sterling Holloway', 'Neville Brand']",43041
The Absent-Minded Professor,7,"[5833, 165082, 5737, 29719, 4966, 9866, 1213238]","['Ed Wynn', 'Wendell Holmes', 'Raymond Bailey', 'Edward Andrews', 'Keenan Wynn', 'James Westerfield', 'Hank Patterson']",17984
Welcome to Hard Times,7,"[8255, 20604, 19111, 4966, 30512, 6462, 8496]","['Warren Oates', 'Janice Rule', 'John Anderson', 'Keenan Wynn', 'Edgar Buchanan', 'Denver Pyle', 'Paul Fix']",118017
The Conqueror,7,"[2097, 18646, 102746, 14508, 11025, 4078, 3163]","['Ted de Corsia', 'Thomas Gomez', 'Leslie Bradley', 'John Hoyt', 'Agnes Moorehead', 'Lee Van Cleef', 'George E. Stone']",24751
The Magnificent Seven,7,"[15998, 3014, 14533, 1153, 4960, 123720, 5563]","['Joseph Ruskin', 'Val Avery', 'Vladimir Sokoloff', 'John A. Alonzo', 'Charles Bronson', 'Bing Russell', 'James Coburn']",966
Auntie Mame,7,"[130098, 87515, 87518, 30559, 8632, 6463, 87519]","['Lela Bliss', 'Jan Handzlik', 'Robin Hughes', 'Pippa Scott', 'Fred Clark', 'Dub Taylor', 'Connie Gilchrist']",16347
4 for Texas,7,"[101481, 97257, 135066, 40212, 4965, 4960, 2101]","['Virginia Christine', 'Marjorie Bennett', 'Abraham Sofaer', 'Dave Willock', 'Jack Elam', 'Charles Bronson', 'Percy Helton']",17691
Marjorie Morningstar,7,"[5833, 1936, 11027, 14573, 93664, 10929, 83433]","['Ed Wynn', 'Martin Balsam', 'Everett Sloane', 'Martin Milner', 'Jesse White', 'Ruta Lee', 'Shelley Fabares']",33731
Advise & Consent,7,"[115460, 16523, 1662013, 29719, 72056, 95563, 72059]","['Malcolm Atterbury', 'Burgess Meredith', 'Bernard Sell', 'Edward Andrews', 'George Grizzard', 'Walter Reed', 'Franchot Tone']",17185
In Search of Historic Jesus,7,"[3160, 79739, 19111, 14508, 94402, 15744, 13401]","['Nehemiah Persoff', 'Morgan Brittany', 'John Anderson', 'John Hoyt', 'Walter Brooke', 'David Opatoshu', 'Peter Mark Richman']",98132
That Darn Cat!,7,"[5833, 7505, 82750, 16086, 21510, 9112, 80206]","['Ed Wynn', 'Roddy McDowall', 'Larry J. Blake', 'Liam Sullivan', 'William Demarest', 'Neville Brand', 'Richard Deacon']",20723
Call Northside 777,7,"[3090, 170604, 119381, 53010, 29579, 85987, 2101]","['Richard Conte', 'Ben Erway', 'Howard Smith', 'John McIntire', 'Charles Lane', 'Betty Garde', 'Percy Helton']",26038
The Cardinal,7,"[8608, 16523, 30228, 30783, 50971, 54123, 30780]","['Murray Hamilton', 'Burgess Meredith', 'Cecil Kellaway', 'Loring Smith', 'Arthur Hunnicutt', ""Patrick O'Neal"", 'Maggie McNamara']",3010
A Big Hand for the Little Lady,7,"[16523, 34597, 18870, 106121, 101901, 2101, 19110]","['Burgess Meredith', 'Kevin McCarthy', 'Ned Glass', 'Noah Keen', 'Milton Selzer', 'Percy Helton', 'Virginia Gregg']",37301
Invasion of the Body Snatchers,7,"[101481, 34597, 22602, 101479, 3640, 6805, 80206]","['Virginia Christine', 'Kevin McCarthy', ""J. Pat O'Malley"", 'Jean Willes', 'Larry Gates', 'Dabbs Greer', 'Richard Deacon']",11549
The Ten Commandments,7,"[1234573, 87752, 8516, 3346, 106102, 99461, 34748]","['Gail Kobe', 'Dorothy Neumann', 'John Carradine', 'Dorothy Adams', 'Henry Corden', 'Cedric Hardwicke', 'Douglass Dumbrille']",6844
Somebody Up There Likes Me,7,"[11027, 1104977, 96701, 26028, 95274, 1947, 83806]","['Everett Sloane', 'Robert P. Lieb', 'John Eldredge', 'Eddie Ryder', 'Clancy Cooper', 'Stanley Adams', 'Arch Johnson']",28000
While the City Sleeps,7,"[46617, 33007, 44846, 82750, 14533, 13578, 15942]","['Ida Lupino', 'Robert Warwick', 'Howard Duff', 'Larry J. Blake', 'Vladimir Sokoloff', 'Dana Andrews', 'Celia Lovsky']",36786
Son of Flubber,7,"[5833, 29719, 4966, 151522, 9866, 3461, 21510]","['Ed Wynn', 'Edward Andrews', 'Keenan Wynn', 'Burt Mustin', 'James Westerfield', 'Jack Albertson', 'William Demarest']",19762
The Crowded Sky,7,"[12309, 4966, 78937, 153486, 101479, 13578, 133736]","['Anne Francis', 'Keenan Wynn', 'Joe Mantell', 'Paul Genge', 'Jean Willes', 'Dana Andrews', 'Ed Kemmer']",94510
The FBI Story,7,"[8608, 178393, 67289, 7303, 19219, 153486, 101479]","['Murray Hamilton', 'Buzz Martin', 'Eleanor Audley', 'Vera Miles', 'Fay Roope', 'Paul Genge', 'Jean Willes']",50231
The Ghost & Mr. Chicken,7,"[29579, 93798, 151522, 33178, 56444, 113655, 2644]","['Charles Lane', 'James Millhollin', 'Burt Mustin', 'George Chandler', 'Robert Cornthwaite', 'Sandra Gould', 'Philip Ober']",13343
The Steel Jungle,7,"[115460, 2097, 23586, 83987, 27734, 2646, 100944]","['Malcolm Atterbury', 'Ted de Corsia', 'Joe Flynn', 'Beverly Garland', 'Stafford Repp', 'Edward Platt', 'Ralph Moody']",74861
The Great Impostor,6,"[71146, 141694, 3640, 10608, 7520, 50762]","['Ted Knight', 'David White', 'Larry Gates', 'Gary Merrill', 'Jeanette Nolan', 'Mike Kellin']",63887
Dragnet,6,"[115460, 101481, 15949, 114961, 12422, 19110]","['Malcolm Atterbury', 'Virginia Christine', 'Vic Perrin', 'Olan Soule', 'Dennis Weaver', 'Virginia Gregg']",43334
Peggy,6,"[14452, 7074, 97257, 114961, 40185, 87519]","['Jerome Cowan', 'Peter Brocco', 'Marjorie Bennett', 'Olan Soule', 'James Best', 'Connie Gilchrist']",397884
Trail of the Vigilantes,6,"[33178, 72059, 89938, 14966, 93624, 8496]","['George Chandler', 'Franchot Tone', 'Earle Hodgins', 'Andy Devine', 'Ray Teal', 'Paul Fix']",202526
Cannonball Run II,6,"[50967, 83975, 4965, 6463, 10460, 10169]","['Doug McClure', 'Arte Johnson', 'Jack Elam', 'Dub Taylor', 'Richard Kiel', 'Telly Savalas']",11950
The Yellow Tomahawk,6,"[2645, 18870, 95563, 4078, 40185, 41756]","['Adam Williams', 'Ned Glass', 'Walter Reed', 'Lee Van Cleef', 'James Best', 'Robert Bray']",168528
Don't Bother to Knock,6,"[104631, 104631, 15949, 15949, 114961, 83149]","['Harry Bartell', 'Harry Bartell', 'Vic Perrin', 'Vic Perrin', 'Olan Soule', 'Willis Bouchey']",24005
The Loved One,6,"[7505, 14575, 13593, 13578, 6933, 5563]","['Roddy McDowall', 'Barbara Nichols', 'Jonathan Winters', 'Dana Andrews', 'Alan Napier', 'James Coburn']",16303
The Reluctant Astronaut,6,"[97257, 151522, 153713, 93664, 7520, 106506]","['Marjorie Bennett', 'Burt Mustin', 'Paul Hartman', 'Jesse White', 'Jeanette Nolan', 'Robert F. Simon']",36855
The Power,6,"[12313, 3641, 3160, 14575, 10608, 15942]","['Earl Holliman', 'Vaughn Taylor', 'Nehemiah Persoff', 'Barbara Nichols', 'Gary Merrill', 'Celia Lovsky']",46015
The Caine Mutiny,6,"[40380, 4307, 40185, 18391, 104630, 41756]","['Don Dubbins', 'Claude Akins', 'James Best', 'Lee Marvin', 'Don Keefer', 'Robert Bray']",10178
3:10 to Yuma,6,"[139613, 5732, 105759, 3346, 83826, 102787]","['Sheridan Comerate', 'Henry Jones', 'Guy Wilkerson', 'Dorothy Adams', 'Robert Emhardt', 'Richard Devon']",14168
Joys,6,"[94550, 78776, 83975, 7167, 3461, 10169]","['Jim Hutton', 'Milton Frome', 'Arte Johnson', 'Don Rickles', 'Jack Albertson', 'Telly Savalas']",468241
"The Beast from 20,000 Fathoms",6,"[30228, 51230, 4078, 40185, 112722, 30115]","['Cecil Kellaway', 'Michael Fox', 'Lee Van Cleef', 'James Best', 'Ross Elliott', 'Frank Ferguson']",35073
PT 109,6,"[14732, 178393, 32894, 19153, 129048, 1752]","['James Gregory', 'Buzz Martin', 'Lew Gallo', 'Cliff Robertson', 'Roger Davis', 'George Takei']",27858
You Can't Take It With You,6,"[96722, 29579, 3262, 6463, 179384, 2782]","['Byron Foulger', 'Charles Lane', 'James Flavin', 'Dub Taylor', 'Pert Kelton', 'Ian Wolfe']",34106
A Town Has Turned to Dust,6,"[14732, 115460, 1748, 26028, 168061, 90230]","['James Gregory', 'Malcolm Atterbury', 'William Shatner', 'Eddie Ryder', 'Clegg Hoyt', 'Helen Kleeb']",353653
Bitter Creek,6,"[95564, 83987, 4307, 6805, 117771, 115550]","['John Larch', 'Beverly Garland', 'Claude Akins', 'Dabbs Greer', 'John Harmon', 'John Pickard']",275573
Riot in Cell Block 11,6,"[99754, 15992, 151882, 104630, 6805, 9112]","['William Phipps', 'William Schallert', 'Jonathan Hole', 'Don Keefer', 'Dabbs Greer', 'Neville Brand']",28023
Pat Garrett & Billy the Kid,6,"[4965, 1107, 6463, 31266, 5563, 8496]","['Jack Elam', 'R.G. Armstrong', 'Dub Taylor', 'Claudia Bryar', 'James Coburn', 'Paul Fix']",11577
Private Hell 36,6,"[46617, 78792, 44846, 29313, 6805, 80206]","['Ida Lupino', 'Steve Cochran', 'Howard Duff', 'Dean Jagger', 'Dabbs Greer', 'Richard Deacon']",36522
Dead Ringer,6,"[2652, 47504, 15721, 33178, 88906, 14564]","['Ken Lynch', 'Estelle Winwood', 'Jon Lormer', 'George Chandler', 'Cyril Delevanti', 'George Macready']",22543
They Died with Their Boots On,6,"[70985, 95274, 94402, 93624, 34448, 30115]","['Gig Young', 'Clancy Cooper', 'Walter Brooke', 'Ray Teal', 'Dick Wessel', 'Frank Ferguson']",17382
Skidoo,6,"[16523, 8632, 97835, 10460, 1937, 14884]","['Burgess Meredith', 'Fred Clark', 'Phil Arnold', 'Richard Kiel', 'Mickey Rooney', 'Michael Constantine']",27470
My Six Loves,6,"[30559, 113952, 19153, 85409, 34759, 1943]","['Pippa Scott', 'Alice Pearce', 'Cliff Robertson', 'Max Showalter', 'Sterling Holloway', 'John McGiver']",175161
One Hundred and One Dalmatians,6,"[71781, 8229, 22602, 97257, 106101, 71779]","['Ben Wright', 'Rod Taylor', ""J. Pat O'Malley"", 'Marjorie Bennett', 'Tudor Owen', 'Betty Lou Gerson']",12230
